"","x"
"521","Gpr3"
"522","Gpr31b"
"523","Gpr33"
"524","Gpr34"
"525","Gpr35"
"526","Gpr37"
"527","Gpr37l1"
"528","Gpr39"
"529","Gpr4"
"530","Gpr45"
"531","Gpr50"
"532","Gpr52"
"533","Gpr55"
"534","Gpr6"
"535","Gpr61"
"536","Gpr62"
"537","Gpr63"
"538","Gpr65"
"539","Gpr68"
"540","Gpr75"
"541","Gpr82"
"542","Gpr83"
"543","Gpr84"
"544","Gpr85"
"545","Gpr87"
"546","Gpr88"
"547","Gprc5b"
"548","Gprc5c"
"549","Gprc5d"
"550","Gprc6a"
"551","Grem1"
"552","Gria1"
"553","Gria2"
"554","Gria3"
"555","Gria4"
"556","Grid1"
"557","Grid2"
"558","Grik1"
"559","Grik2"
"560","Grik3"
"561","Grik4"
"562","Grik5"
"563","Grin1"
"564","Grin2a"
"565","Grin2b"
"566","Grin2c"
"567","Grin2d"
"568","Grin3a"
"569","Grin3b"
"570","Grm1"
"571","Grm2"
"572","Grm3"
"573","Grm4"
"574","Grm5"
"575","Grm6"
"576","Grm7"
"577","Grm8"
"578","Grpr"
"579","Gucy2d"
"580","Gucy2e"
"581","Gucy2f"
"582","H2.Eb1"
"583","Hand2"
"584","Hcar1"
"585","Hcar2"
"586","Hcrtr1"
"587","Hcrtr2"
"588","Hgf"
"589","Hhex"
"590","Hmgb2"
"591","Hmgn3"
"592","Hoxb9"
"593","Hrh1"
"594","Hrh2"
"595","Hrh3"
"596","Hrh4"
"597","Htr1a"
"598","Htr1b"
"599","Htr1d"
"600","Htr1f"
"601","Htr2a"
"602","Htr2b"
"603","Htr2c"
"604","Htr3a"
"605","Htr3b"
"606","Htr4"
"607","Htr5a"
"608","Htr5b"
"609","Htr6"
"610","Htr7"
"611","Icos"
"612","Ifih1"
"613","Ifna1"
"614","Ifna11"
"615","Ifna12"
"616","Ifna13"
"617","Ifna14"
"618","Ifna15"
"619","Ifna16"
"620","Ifna2"
"621","Ifna4"
"622","Ifna5"
"623","Ifna6"
"624","Ifna7"
"625","Ifna9"
"626","Ifnab"
"627","Ifnar1"
"628","Ifnar2"
"629","Ifnb1"
"630","Ifne"
"631","Ifng"
"632","Ifnk"
"633","Ifnl2"
"634","Ifnl3"
"635","Ifnlr1"
"636","Igf1"
"637","Igf1r"
"638","Igf2"
"639","Ighd"
"640","Ighe"
"641","Ighm"
"642","Ihh"
"643","Il10"
"644","Il10ra"
"645","Il11"
"646","Il11ra2"
"647","Il12a"
"648","Il12b"
"649","Il12rb1"
"650","Il12rb2"
"651","Il13"
"652","Il13ra1"
"653","Il13ra2"
"654","Il15"
"655","Il15ra"
"656","Il16"
"657","Il17a"
"658","Il17b"
"659","Il17c"
"660","Il17d"
"661","Il17f"
"662","Il17ra"
"663","Il17rb"
"664","Il17rd"
