"","x","y"
"325",8380.42982386364,-1409.03097386364
"326",8340.72705306122,-1360.18026
"327",8479.71936111111,-1507.0813
"328",8510.78900431035,-1537.50982327586
"329",8477.13635576923,-1497.28633173077
"330",8371.51465384615,-1395.85420769231
"331",8346.96071990741,-1375.63355601852
"332",8358.64924074074,-1379.9090962963
"333",8450.87632738095,-1477.08337142857
"334",8492.27067894737,-1519.02581368421
"335",8392.54391428571,-1411.34592857143
"336",8391.17084883721,-1409.55507209302
"337",8399.47388095238,-1413.12217142857
"338",8169.27244680851,-1186.21016489362
"339",8549.87432051282,-1572.83721025641
"340",8508.58459859155,-1531.85254788732
"341",8482.46686458333,-1506.21195
"342",8357.99746183206,-1376.43466259542
"343",8406.46742387543,-1420.50826020761
"344",8572.7441744186,-1594.41915930233
"345",8481.17716842105,-1502.91090210526
"346",8364.76305102041,-1379.05758673469
"347",8298.19486170213,-1319.49219361702
"348",8356.7581779661,-1375.78047118644
"349",8484.44790789474,-1498.82283157895
"350",8386.41371923077,-1390.33771846154
"351",8545.25913529412,-1559.28066235294
"352",8356.15444318182,-1374.28005909091
"353",8370.55396634615,-1380.84051153846
"354",8400.82159210526,-1416.46704736842
"355",8398.97789705882,-1404.54521176471
"356",8501.24235660377,-1505.83815245283
"357",8372.98881313131,-1387.02310606061
"358",8179.89898238636,-1182.36272585227
"359",8408.54517647059,-1414.79658088235
"360",8235.63036538461,-1243.30764903846
"361",8452.14115384615,-1470.20962692308
"362",8374.34203658537,-1382.94266585366
"363",8333.48210227273,-1343.59913636364
"364",8579.49512411347,-1595.33486170213
"365",8524.21742583732,-1532.95466267943
"366",8361.75532098765,-1371.82274567901
"367",8401.77579850746,-1406.94669552239
"368",8494.50541202346,-1498.67611231672
"369",8578.46179503105,-1581.16053229814
"370",8482.04225,-1487.423571875
"371",8335.81051290323,-1348.2644483871
"372",8604.42828125,-1614.585975
"373",8457.71677906977,-1470.86404186047
"374",8477.85718,-1491.120516
"375",8412.73202325582,-1412.3205627907
"376",8533.08401438849,-1545.90448705036
"377",8228.02481739131,-1227.94356608696
"378",8600.727875,-1605.60291896552
"379",8342.1193125,-1349.68335833333
"380",8124.29498,-1125.86065230769
"381",8168.88487910448,-1174.7869641791
"382",8379.12885,-1377.90163333333
"383",8409.8415,-1417.4312469697
"384",8544.20306451613,-1553.32007580645
"385",8499.25370212766,-1501.64671843972
"386",8219.48815116279,-1221.69360232558
"387",8597.843924,-1600.540616
"388",8468.13609821429,-1471.73104821429
"389",8485.49977536232,-1487.86708695652
"390",8338.93022018349,-1341.34119816514
"391",8514.34881909548,-1521.42202914573
"392",8158.53824788732,-1154.90768591549
"393",8341.3279525862,-1344.15485517241
"394",8359.54147718631,-1353.14530228137
"395",8429.00896116505,-1431.71051456311
"396",8406.03683333333,-1406.95602619048
"397",8584.372390625,-1589.1682
"398",8538.75731132075,-1542.30170377359
"399",8537.26928804348,-1538.90255543478
"400",8417.93978773585,-1411.534825
"401",8589.30185483871,-1588.36169247312
"402",8541.25596551724,-1538.37546781609
"403",8414.25538516747,-1406.62756267943
